cFAC 1.7.0
Endian	= 0
TSess	= 1632389911
Type	= 1
Verbose	= 1
Se Z	=  34.0
NBlocks	= 2
E0	= 0, -5.33755028E+04

NELE	= 9
NLEV	= 2
  ILEV  IBASE    ENERGY       P   VNL   2J
     0     -1  0.00000000E+00 1   201    3 1*2 2*7              2p5                  2p+3(3)3
     1     -1  4.27713675E+01 1   201    1 1*2 2*7              2p5                  2p-1(1)1

NELE	= 10
NLEV	= 47
  ILEV  IBASE    ENERGY       P   VNL   2J
     2     -1  3.86251860E+02 0   300    4 1*2 2*6 3*2          2p4                  2p+2(4)4
     3     -1  4.05943460E+02 0   300    0 1*2 2*6 3*2          2p4                  2p+2(0)0
     4     -1  4.17959746E+02 1   301    4 1*2 2*6 3*2          2p4 3s1 3p1          2p+2(4)4 3s+1(1)5 3p-1(1)4
     5     -1  4.20306489E+02 1   301    6 1*2 2*6 3*2          2p4 3s1 3p1          2p+2(4)4 3s+1(1)5 3p-1(1)6
     6     -1  4.24258309E+02 1   301    2 1*2 2*6 3*2          2p4 3s1 3p1          2p+2(4)4 3s+1(1)3 3p-1(1)2
     7     -1  4.25952150E+02 0   300    2 1*2 2*6 3*2          2p4                  2p-1(1)1 2p+3(3)2
     8     -1  4.26223400E+02 1   301    4 1*2 2*6 3*2          2p4 3s1 3p1          2p+2(4)4 3s+1(1)3 3p-1(1)4
     9     -1  4.28285043E+02 1   301    8 1*2 2*6 3*2          2p4 3s1 3p1          2p+2(4)4 3s+1(1)5 3p+1(3)8
    10     -1  4.30145317E+02 1   301    6 1*2 2*6 3*2          2p4 3s1 3p1          2p+2(4)4 3s+1(1)5 3p+1(3)6
    11     -1  4.32301748E+02 1   301    0 1*2 2*6 3*2          2p4 3s1 3p1          2p+2(4)4 3s+1(1)3 3p+1(3)0
    12     -1  4.37879358E+02 1   301    2 1*2 2*6 3*2          2p4 3s1 3p1          2p+2(4)4 3s+1(1)3 3p+1(3)2
    13     -1  4.38132076E+02 0   300    4 1*2 2*6 3*2          2p4                  2p-1(1)1 2p+3(3)4
